Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
20-Jun-2024,EQ,980.0,988.4,976.35,977.35,979.1,978.25,981.43,1065.6,557.7,7299571,7164054388.95,175319
19-Jun-2024,EQ,990.0,994.9,975.15,985.9,977.5,977.35,983.31,1065.6,557.7,7605719,7478762920.9,182319
18-Jun-2024,EQ,1000.0,1003.55,984.0,993.4,986.5,985.9,992.19,1065.6,557.7,9845075,9768198778.4,284505
14-Jun-2024,EQ,990.0,997.25,981.4,985.85,992.0,993.4,990.22,1065.6,557.7,11591421,11478053630.05,309906
13-Jun-2024,EQ,1002.0,1002.0,980.75,988.7,985.8,985.85,988.6,1065.6,557.7,12157226,12018656079.65,295633
12-Jun-2024,EQ,994.5,1010.25,987.0,987.1,989.2,988.7,996.34,1065.6,557.7,17527993,17463864630.25,430324
11-Jun-2024,EQ,973.8,992.55,966.65,975.15,986.15,987.1,984.93,1065.6,557.7,14828702,14605301145.3,400232
10-Jun-2024,EQ,977.0,984.9,969.1,970.5,974.8,975.15,976.04,1065.6,557.7,9258931,9037131825.15,202911
07-Jun-2024,EQ,940.0,973.0,935.25,938.25,970.0,970.5,959.91,1065.6,537.9,15577866,14953276886.75,319681
06-Jun-2024,EQ,940.0,946.0,931.2,929.95,939.5,938.25,939.29,1065.6,537.9,11792640,11076724156.05,358066
05-Jun-2024,EQ,924.95,933.75,890.0,903.9,928.0,929.95,917.55,1065.6,537.9,13752553,12618706601.05,347081
04-Jun-2024,EQ,948.0,948.0,855.4,950.45,904.95,903.9,903.72,1065.6,537.9,26554598,23997986160.7,813215
03-Jun-2024,EQ,963.0,963.0,934.0,923.0,951.5,950.45,945.99,1065.6,537.9,12314329,11649170721.05,303950
31-May-2024,EQ,931.65,937.25,920.1,923.95,924.5,923.0,926.9,1065.6,516.4,14289102,13244560246.05,292240
30-May-2024,EQ,943.5,951.45,921.0,943.6,929.35,923.95,932.76,1065.6,516.4,10170912,9487037493.15,312135
29-May-2024,EQ,946.95,950.5,938.8,947.55,943.5,943.6,944.04,1065.6,516.4,8184019,7726012188.2,235178
28-May-2024,EQ,959.0,961.9,946.0,958.5,947.45,947.55,951.76,1065.6,516.4,6618946,6299651307.05,197988
27-May-2024,EQ,964.9,966.45,952.0,960.55,959.2,958.5,960.65,1065.6,516.4,6916555,6644393473.1,174172
24-May-2024,EQ,962.5,970.95,958.0,962.35,958.9,960.55,965.97,1065.6,509.1,9590588,9264265969.4,255338
23-May-2024,EQ,950.0,963.45,945.05,947.5,962.45,962.35,955.16,1065.6,509.1,11211074,10708362879.35,257170
22-May-2024,EQ,952.0,954.9,942.55,951.3,947.95,947.5,948.59,1065.6,509.1,9495279,9007105777.45,243237
21-May-2024,EQ,954.0,956.65,948.7,953.95,950.5,951.3,952.23,1065.6,509.1,10055258,9574946020.95,308306
18-May-2024,EQ,950.0,958.0,947.0,945.7,954.0,953.95,951.58,1065.6,504.75,1930324,1836862132.25,46830
17-May-2024,EQ,944.0,953.4,941.0,936.4,944.95,945.7,946.87,1065.6,504.75,13205512,12503951677.2,345592
16-May-2024,EQ,953.2,954.4,919.0,947.3,939.2,936.4,932.31,1065.6,504.75,31240770,29126084706.15,991302
15-May-2024,EQ,970.95,972.95,945.1,964.65,946.0,947.3,955.59,1065.6,504.75,19668239,18794794488.8,552332
14-May-2024,EQ,965.1,968.0,953.25,959.75,964.75,964.65,961.48,1065.6,504.75,16325689,15696771291.2,444401
13-May-2024,EQ,1005.0,1008.7,947.2,1046.65,959.4,959.75,965.73,1065.6,504.75,58974762,56953731977.95,1249124
10-May-2024,EQ,1037.0,1050.35,1030.4,1030.3,1047.0,1046.65,1041.7,1065.6,478.1,13383183,13941241784.4,272084
09-May-2024,EQ,1011.0,1043.2,1007.3,1012.1,1030.0,1030.3,1031.37,1065.6,478.1,19189798,19791772664.4,373117
08-May-2024,EQ,986.95,1015.0,977.0,988.55,1013.1,1012.1,1001.59,1065.6,478.1,7519352,7531291997.2,176945
07-May-2024,EQ,1016.2,1017.95,982.05,1016.2,988.0,988.55,995.72,1065.6,478.1,8877426,8839436147.4,268478
06-May-2024,EQ,1015.0,1019.8,1005.0,1013.4,1015.1,1016.2,1013.3,1065.6,478.1,5724760,5800903344.7,152486
03-May-2024,EQ,1038.0,1040.2,996.0,1027.8,1014.5,1013.4,1017.92,1065.6,474.55,11871773,12084502533.2,294136
02-May-2024,EQ,1020.0,1030.0,1011.55,1007.9,1028.8,1027.8,1024.12,1065.6,474.55,12695047,13001313075.95,325584
30-Apr-2024,EQ,1005.0,1019.45,997.5,1000.6,1008.0,1007.9,1013.13,1065.6,474.55,9047011,9165814674.35,217132
29-Apr-2024,EQ,1003.05,1005.75,999.0,999.5,1000.05,1000.6,1001.33,1065.6,474.55,4764750,4771091108.7,138831
26-Apr-2024,EQ,1007.8,1008.95,996.6,1001.25,1000.0,999.5,1002.09,1065.6,468.3,7937500,7954127656.55,207973
25-Apr-2024,EQ,992.5,1003.3,989.5,991.65,1002.0,1001.25,996.95,1065.6,468.3,8366455,8340920069.7,191801
24-Apr-2024,EQ,992.4,995.9,988.0,986.75,990.8,991.65,991.57,1065.6,468.3,4671450,4632068971.7,132021
23-Apr-2024,EQ,976.0,994.5,974.05,973.55,987.75,986.75,985.98,1065.6,468.3,7994116,7882075910.3,204024
22-Apr-2024,EQ,978.75,978.75,966.0,963.2,974.7,973.55,971.86,1065.6,468.3,7187959,6985655749.55,185545
19-Apr-2024,EQ,964.0,967.95,944.0,971.35,964.4,963.2,956.12,1065.6,465.8,15381310,14706420442.1,455804
18-Apr-2024,EQ,996.35,1003.1,966.25,992.8,977.55,971.35,985.92,1065.6,465.8,13540490,13349851587.35,386743
16-Apr-2024,EQ,990.0,1004.9,982.1,998.8,992.2,992.8,994.95,1065.6,465.8,9574762,9526421190.55,371266
15-Apr-2024,EQ,998.1,1006.95,978.5,1018.5,997.95,998.8,996.59,1065.6,465.8,12632409,12589370202.8,315872
12-Apr-2024,EQ,1014.0,1029.0,1013.5,1013.5,1020.0,1018.5,1022.78,1065.6,452.0,11575194,11838897334.0,269532
10-Apr-2024,EQ,1012.25,1021.0,1010.0,1008.5,1014.0,1013.5,1013.34,1065.6,452.0,4554077,4614809424.85,147535
09-Apr-2024,EQ,1021.0,1029.5,1005.0,1013.2,1008.0,1008.5,1016.63,1065.6,452.0,8539041,8681062975.6,165448
08-Apr-2024,EQ,1010.05,1016.4,1004.0,1007.1,1012.7,1013.2,1011.67,1065.6,452.0,5188052,5248588584.35,135516
05-Apr-2024,EQ,1011.6,1012.5,1004.4,1011.6,1007.85,1007.1,1007.7,1065.6,419.5,4519120,4553938869.15,125137
04-Apr-2024,EQ,1016.0,1017.0,998.15,1009.15,1013.0,1011.6,1009.18,1065.6,419.5,9138276,9222166611.85,222736
03-Apr-2024,EQ,1004.0,1014.45,992.55,1004.65,1009.8,1009.15,1005.24,1065.6,419.5,8040366,8082483994.3,178668
02-Apr-2024,EQ,999.0,1008.0,993.4,992.25,1006.4,1004.65,1001.88,1065.6,419.5,7995931,8010966198.3,140240
01-Apr-2024,EQ,1000.0,1009.85,987.45,992.8,994.0,992.25,999.89,1065.6,419.5,8629407,8628417031.65,186115
28-Mar-2024,EQ,982.5,999.9,979.0,978.65,995.0,992.8,989.41,1065.6,400.45,9862996,9758505417.6,206461
27-Mar-2024,EQ,991.6,995.0,976.7,986.2,979.85,978.65,986.05,1065.6,400.45,6640537,6547901957.2,153746
26-Mar-2024,EQ,977.0,995.0,976.0,979.8,987.15,986.2,988.47,1065.6,400.45,9461531,9352425727.35,203693
22-Mar-2024,EQ,964.9,986.2,950.35,964.9,979.75,979.8,973.11,1065.6,400.45,13638296,13271535879.3,331701
21-Mar-2024,EQ,951.0,969.25,946.0,940.45,965.55,964.9,959.7,1065.6,400.45,11074207,10627871292.8,255104
20-Mar-2024,EQ,960.9,965.15,921.2,957.75,944.3,940.45,940.72,1065.6,400.45,13900321,13076339290.15,334099
19-Mar-2024,EQ,968.55,970.6,951.6,972.45,958.2,957.75,960.6,1065.6,400.45,9483750,9110135924.35,238021
18-Mar-2024,EQ,945.85,974.8,936.65,945.85,972.0,972.45,961.64,1065.6,400.45,12121719,11656766985.35,301579
15-Mar-2024,EQ,968.4,979.75,940.0,967.75,943.95,945.85,951.07,1065.6,400.45,23390913,22246300902.2,409527
14-Mar-2024,EQ,964.95,982.0,955.4,973.2,968.4,967.75,968.09,1065.6,400.45,22931801,22200006561.95,453838
13-Mar-2024,EQ,1019.0,1021.0,963.55,1016.5,973.15,973.2,988.04,1065.6,400.45,16564155,16366004383.05,429325
12-Mar-2024,EQ,1027.8,1037.0,1011.3,1028.0,1019.0,1016.5,1022.19,1065.6,400.45,8763820,8958273288.4,243990
11-Mar-2024,EQ,1034.75,1035.95,1021.0,1039.3,1029.0,1028.0,1028.41,1065.6,400.45,7502450,7715605116.35,226237
07-Mar-2024,EQ,1025.0,1047.0,1014.05,1017.65,1038.0,1039.3,1034.02,1065.6,400.45,16877082,17451286445.7,334768
06-Mar-2024,EQ,1025.0,1030.65,1009.0,1021.9,1018.3,1017.65,1017.8,1065.6,400.45,14214823,14467813308.05,324328
05-Mar-2024,EQ,1027.0,1065.6,1005.35,987.2,1022.6,1021.9,1034.27,1065.6,400.45,59811033,61860832911.3,1021819
04-Mar-2024,EQ,993.25,995.0,980.1,988.35,988.9,987.2,987.44,995.0,400.45,6084495,6008071877.35,172305
02-Mar-2024,EQ,987.0,992.6,981.55,977.4,989.0,988.35,988.11,992.6,400.45,1783565,1762352615.4,44527
01-Mar-2024,EQ,958.95,980.4,956.7,950.2,978.0,977.4,973.55,980.4,400.45,10645369,10363817721.85,262649
29-Feb-2024,EQ,959.0,959.25,942.9,958.05,954.8,950.2,951.04,976.0,400.45,10346657,9840123082.15,265774
28-Feb-2024,EQ,966.15,976.0,950.3,962.7,956.45,958.05,964.72,976.0,400.45,15219187,14682325105.15,274090
27-Feb-2024,EQ,936.75,965.0,935.5,936.95,962.55,962.7,952.91,965.0,400.45,12810206,12206913965.65,255150
26-Feb-2024,EQ,937.1,945.0,930.7,937.4,937.0,936.95,939.4,950.0,400.45,5600234,5260857679.25,155986
23-Feb-2024,EQ,933.1,939.8,929.4,932.3,935.05,937.4,935.7,950.0,400.45,7047473,6594319211.95,177363
22-Feb-2024,EQ,924.65,933.85,914.6,921.05,932.0,932.3,924.59,950.0,400.45,6437014,5951596828.2,186849
21-Feb-2024,EQ,926.35,937.2,916.5,926.35,921.5,921.05,927.22,950.0,400.45,6011018,5573515628.15,157853
20-Feb-2024,EQ,934.45,934.65,920.4,932.6,927.65,926.35,926.54,950.0,400.45,4733639,4385887798.7,153026
19-Feb-2024,EQ,942.95,942.95,931.05,938.6,933.8,932.6,934.1,950.0,400.45,4632214,4326948761.15,137170
16-Feb-2024,EQ,925.0,948.8,924.1,920.55,938.4,938.6,941.47,950.0,400.45,12826164,12075406001.8,266600
15-Feb-2024,EQ,923.7,927.0,916.35,918.3,920.55,920.55,921.13,950.0,400.45,6430799,5923596433.3,182677
14-Feb-2024,EQ,900.0,919.95,894.35,906.9,918.5,918.3,908.86,950.0,400.45,6570939,5972068977.2,183347
